Layer,	H,	W,	R,	S,	C,	N,	T,	W_footprint,	I_footprint,	O_footprint,	Memory_cycles,	Compute_cycles
1,	56,	56,	3,	3,	64,	64,	1,	72,	392,	183,	2200,	136192
2,	56,	56,	1,	1,	64,	256,	2,	32,	392,	204,	1888,	21504
3,	28,	28,	3,	3,	128,	128,	1,	288,	196,	85,	1664,	132608
4,	28,	28,	1,	1,	128,	512,	2,	128,	196,	106,	1984,	35840
5,	14,	14,	1,	1,	256,	256,	1,	128,	98,	49,	1152,	32256
6,	14,	14,	3,	3,	256,	256,	1,	1152,	98,	36,	2320,	261632
7,	14,	14,	1,	1,	256,	1024,	2,	512,	98,	57,	2176,	64512
8,	7,	7,	1,	1,	512,	512,	1,	512,	49,	25,	1408,	60928
9,	7,	7,	1,	1,	2048,	512,	2,	2048,	196,	8,	2560,	133120
10,	56,	56,	3,	3,	64,	64,	1,	72,	392,	183,	2200,	136192
11,	56,	56,	1,	1,	64,	256,	2,	32,	392,	204,	1888,	21504
12,	28,	28,	3,	3,	128,	128,	1,	288,	196,	85,	1664,	132608
13,	28,	28,	1,	1,	128,	512,	2,	128,	196,	106,	1984,	35840
14,	14,	14,	1,	1,	256,	256,	1,	128,	98,	49,	1152,	32256
15,	14,	14,	3,	3,	256,	256,	1,	1152,	98,	36,	2320,	261632
16,	14,	14,	1,	1,	256,	1024,	2,	512,	98,	57,	2176,	64512
17,	7,	7,	1,	1,	512,	512,	1,	512,	49,	25,	1408,	60928
18,	7,	7,	1,	1,	2048,	512,	2,	2048,	196,	8,	2560,	133120
