Layer,	H,	W,	R,	S,	C,	N,	T,	W_footprint,	I_footprint,	O_footprint,	Memory_cycles,	Compute_cycles
1,	1024,	16,	1,	16,	1,	4,	1,	1,	32,	4,	8208,	49152
2,	1024,	16,	1,	16,	1,	3,	1,	1,	32,	3,	8208,	49152
3,	1024,	16,	1,	16,	1,	2,	1,	1,	32,	2,	8208,	49152
4,	1024,	13,	1,	13,	1,	512,	1,	13,	26,	512,	131088,	737280
5,	1024,	512,	1,	512,	1,	256,	1,	256,	1024,	256,	1048848,	71303168
6,	1024,	256,	1,	256,	1,	64,	1,	32,	512,	64,	131208,	4718592
7,	1024,	64,	1,	64,	1,	16,	1,	2,	128,	16,	4407312,	196608
8,	1024,	22,	1,	22,	1,	512,	1,	22,	44,	512,	131096,	884736
9,	1024,	512,	1,	512,	1,	256,	1,	256,	1024,	256,	1048848,	71303168
10,	1024,	256,	1,	256,	1,	1,	1,	1,	512,	1,	271384592,	2359296
