Layer,	H,	W,	R,	S,	C,	N,	T,	W_footprint,	I_footprint,	O_footprint,	Memory_cycles,	Compute_cycles
1,	224,	224,	7,	7,	3,	64,	2,	19,	294,	750,	7320,	160384
2,	56,	56,	1,	1,	64,	64,	1,	8,	392,	196,	1856,	21504
3,	56,	56,	3,	3,	64,	64,	1,	72,	392,	183,	2200,	136192
4,	56,	56,	1,	1,	64,	256,	1,	32,	392,	784,	7232,	86016
5,	56,	56,	1,	1,	64,	256,	1,	32,	392,	784,	7232,	86016
6,	56,	56,	1,	1,	256,	64,	1,	32,	1568,	196,	2048,	64512
7,	56,	56,	3,	3,	64,	64,	1,	72,	392,	183,	2200,	136192
8,	56,	56,	1,	1,	64,	256,	1,	32,	392,	784,	7232,	86016
9,	56,	56,	1,	1,	256,	64,	1,	32,	1568,	196,	2048,	64512
10,	56,	56,	3,	3,	64,	64,	1,	72,	392,	183,	2200,	136192
11,	56,	56,	1,	1,	64,	256,	1,	32,	392,	784,	7232,	86016
12,	56,	56,	1,	1,	256,	128,	2,	64,	1568,	102,	1280,	32256
13,	28,	28,	3,	3,	128,	128,	1,	288,	196,	85,	1664,	132608
14,	28,	28,	1,	1,	128,	512,	1,	128,	196,	392,	3712,	71680
15,	56,	56,	1,	1,	256,	512,	2,	256,	1568,	407,	3968,	129024
16,	28,	28,	1,	1,	512,	128,	1,	128,	784,	98,	1408,	60928
17,	28,	28,	3,	3,	128,	128,	1,	288,	196,	85,	1664,	132608
18,	28,	28,	1,	1,	128,	512,	1,	128,	196,	392,	3712,	71680
19,	28,	28,	1,	1,	512,	128,	1,	128,	784,	98,	1408,	60928
20,	28,	28,	3,	3,	128,	128,	1,	288,	196,	85,	1664,	132608
21,	28,	28,	1,	1,	128,	512,	1,	128,	196,	392,	3712,	71680
22,	28,	28,	1,	1,	512,	128,	1,	128,	784,	98,	1408,	60928
23,	28,	28,	3,	3,	128,	128,	1,	288,	196,	85,	1664,	132608
24,	28,	28,	1,	1,	128,	512,	1,	128,	196,	392,	3712,	71680
25,	28,	28,	1,	1,	512,	256,	2,	256,	784,	53,	1408,	60928
26,	14,	14,	3,	3,	256,	256,	1,	1152,	98,	36,	2320,	261632
27,	14,	14,	1,	1,	256,	1024,	1,	512,	98,	196,	3840,	129024
28,	28,	28,	1,	1,	512,	1024,	2,	1024,	784,	211,	4096,	243712
29,	14,	14,	1,	1,	1024,	256,	1,	512,	392,	49,	1920,	118272
30,	14,	14,	3,	3,	256,	256,	1,	1152,	98,	36,	2320,	261632
31,	14,	14,	1,	1,	256,	1024,	1,	512,	98,	196,	3840,	129024
32,	14,	14,	1,	1,	1024,	256,	1,	512,	392,	49,	1920,	118272
33,	14,	14,	3,	3,	256,	256,	1,	1152,	98,	36,	2320,	261632
34,	14,	14,	1,	1,	256,	1024,	1,	512,	98,	196,	3840,	129024
35,	14,	14,	1,	1,	1024,	256,	1,	512,	392,	49,	1920,	118272
36,	14,	14,	3,	3,	256,	256,	1,	1152,	98,	36,	2320,	261632
37,	14,	14,	1,	1,	256,	1024,	1,	512,	98,	196,	3840,	129024
38,	14,	14,	1,	1,	1024,	256,	1,	512,	392,	49,	1920,	118272
39,	14,	14,	3,	3,	256,	256,	1,	1152,	98,	36,	2320,	261632
40,	14,	14,	1,	1,	256,	1024,	1,	512,	98,	196,	3840,	129024
41,	14,	14,	1,	1,	1024,	256,	1,	512,	392,	49,	1920,	118272
42,	14,	14,	3,	3,	256,	256,	1,	1152,	98,	36,	2320,	261632
43,	14,	14,	1,	1,	256,	1024,	1,	512,	98,	196,	3840,	129024
44,	14,	14,	3,	3,	1024,	512,	1,	9216,	392,	72,	7488,	2071552
45,	14,	14,	1,	1,	512,	36,	1,	36,	196,	7,	736,	15232
46,	14,	14,	1,	1,	512,	18,	1,	18,	196,	4,	1800664,	7616
