Layer,	H,	W,	R,	S,	C,	N,	T,	W_footprint,	I_footprint,	O_footprint,	Memory_cycles,	Compute_cycles
1,	1,	1024,	1,	1024,	1,	4,	1,	8,	2,	1,	8379408,	33792
2,	1,	1024,	1,	1024,	1,	4,	1,	8,	2,	1,	8379408,	33792
3,	1,	1024,	1,	1024,	1,	4,	1,	8,	2,	1,	8379408,	33792
4,	1,	1024,	1,	1024,	1,	4,	1,	8,	2,	1,	8379408,	33792
5,	1,	1024,	1,	1024,	1,	4,	1,	8,	2,	1,	8379408,	33792
6,	1,	1024,	1,	1024,	1,	4,	1,	8,	2,	1,	8379408,	33792
7,	1,	1024,	1,	1024,	1,	4,	1,	8,	2,	1,	8379408,	33792
8,	1,	1024,	1,	1024,	1,	4,	1,	8,	2,	1,	8379408,	33792
9,	1,	1024,	1,	1024,	1,	4,	1,	8,	2,	1,	8379408,	33792
10,	1,	1024,	1,	1024,	1,	4,	1,	8,	2,	1,	8379408,	33792
11,	1,	1024,	1,	1024,	1,	4,	1,	8,	2,	1,	8379408,	33792
12,	1,	1024,	1,	1024,	1,	4,	1,	8,	2,	1,	8379408,	33792
13,	1,	1024,	1,	1024,	1,	4,	1,	8,	2,	1,	8379408,	33792
14,	1,	1024,	1,	1024,	1,	4,	1,	8,	2,	1,	8379408,	33792
15,	1,	1024,	1,	1024,	1,	4,	1,	8,	2,	1,	8379408,	33792
16,	1,	1024,	1,	1024,	1,	4,	1,	8,	2,	1,	8379408,	33792
17,	1,	1024,	1,	1024,	1,	4,	1,	8,	2,	1,	8379408,	33792
