Layer,	H,	W,	R,	S,	C,	N,	T,	W_footprint,	I_footprint,	O_footprint,	Memory_cycles,	Compute_cycles
2,	224,	224,	7,	7,	3,	64,	2,	19,	294,	750,	7320,	160384
3,	56,	56,	1,	1,	64,	64,	1,	8,	392,	196,	1856,	21504
4,	56,	56,	3,	3,	64,	192,	1,	216,	392,	547,	5784,	408576
5,	28,	28,	1,	1,	192,	64,	1,	24,	294,	49,	640,	12544
6,	28,	28,	1,	1,	192,	96,	1,	36,	294,	74,	864,	18816
7,	28,	28,	3,	3,	96,	128,	1,	216,	147,	85,	1472,	100352
8,	28,	28,	1,	1,	192,	16,	1,	6,	294,	13,	501192,	6272
9,	28,	28,	5,	5,	16,	32,	1,	25,	25,	18,	472,	12096
10,	28,	28,	1,	1,	192,	32,	1,	12,	294,	25,	416,	6272
11,	28,	28,	1,	1,	256,	128,	1,	64,	392,	98,	1152,	32256
12,	28,	28,	1,	1,	256,	128,	1,	64,	392,	98,	1152,	32256
13,	28,	28,	3,	3,	128,	192,	1,	432,	196,	127,	2112,	198912
14,	28,	28,	1,	1,	256,	32,	1,	16,	392,	25,	480,	8064
15,	28,	28,	5,	5,	32,	96,	1,	150,	49,	54,	1160,	69888
16,	28,	28,	1,	1,	256,	64,	1,	32,	392,	49,	704,	16128
17,	14,	14,	1,	1,	480,	192,	1,	180,	184,	37,	1152,	43008
18,	14,	14,	1,	1,	480,	96,	1,	90,	184,	19,	816,	21504
19,	14,	14,	3,	3,	96,	208,	1,	351,	37,	30,	1320,	87808
20,	14,	14,	1,	1,	480,	16,	1,	15,	184,	4,	1586616,	7168
21,	14,	14,	5,	5,	16,	48,	1,	38,	7,	5,	456,	12096
22,	14,	14,	1,	1,	480,	64,	1,	60,	184,	13,	704,	14336
23,	14,	14,	1,	1,	512,	160,	1,	160,	196,	31,	1072,	38080
24,	14,	14,	1,	1,	512,	112,	1,	112,	196,	22,	960,	30464
25,	14,	14,	3,	3,	112,	224,	1,	441,	43,	32,	1408,	101920
26,	14,	14,	1,	1,	512,	24,	1,	24,	196,	5,	1771768,	7616
27,	14,	14,	5,	5,	24,	64,	1,	75,	10,	7,	576,	17696
28,	14,	14,	1,	1,	512,	64,	1,	64,	196,	13,	736,	15232
29,	14,	14,	1,	1,	512,	128,	1,	128,	196,	25,	960,	30464
30,	14,	14,	1,	1,	512,	128,	1,	128,	196,	25,	960,	30464
31,	14,	14,	3,	3,	128,	256,	1,	576,	49,	36,	1608,	132608
32,	14,	14,	1,	1,	512,	24,	1,	24,	196,	5,	1771768,	7616
33,	14,	14,	1,	1,	24,	64,	1,	3,	10,	13,	256,	1568
34,	14,	14,	1,	1,	512,	64,	1,	64,	196,	13,	736,	15232
35,	14,	14,	1,	1,	512,	112,	1,	112,	196,	22,	960,	30464
36,	14,	14,	1,	1,	512,	144,	1,	144,	196,	28,	1072,	38080
37,	14,	14,	3,	3,	144,	288,	1,	729,	56,	41,	1816,	167328
38,	14,	14,	1,	1,	512,	32,	1,	32,	196,	7,	624,	7616
39,	14,	14,	5,	5,	32,	64,	1,	100,	13,	7,	680,	23296
40,	14,	14,	1,	1,	512,	64,	1,	64,	196,	13,	736,	15232
41,	14,	14,	1,	1,	528,	256,	1,	264,	203,	49,	1424,	62720
42,	14,	14,	1,	1,	528,	160,	1,	165,	203,	31,	1088,	39200
43,	14,	14,	3,	3,	160,	320,	1,	900,	62,	45,	2016,	206080
44,	14,	14,	1,	1,	528,	32,	1,	33,	203,	7,	640,	7840
45,	14,	14,	5,	5,	32,	128,	1,	200,	13,	13,	904,	46592
46,	14,	14,	1,	1,	528,	128,	1,	132,	203,	25,	976,	31360
47,	7,	7,	1,	1,	832,	256,	1,	416,	80,	13,	1280,	48384
48,	7,	7,	1,	1,	532,	160,	1,	167,	51,	8,	824,	19740
49,	7,	7,	3,	3,	160,	320,	1,	900,	16,	8,	10808,	103040
50,	7,	7,	1,	1,	832,	32,	1,	52,	80,	2,	888,	6048
51,	7,	7,	5,	5,	32,	128,	1,	200,	4,	2,	1976,	23296
52,	7,	7,	1,	1,	832,	128,	1,	208,	80,	7,	1056,	24192
53,	7,	7,	1,	1,	832,	384,	1,	624,	80,	19,	1504,	72576
54,	7,	7,	1,	1,	832,	192,	1,	312,	80,	10,	1168,	36288
55,	7,	7,	3,	3,	192,	384,	1,	1296,	19,	10,	15656,	147840
56,	7,	7,	1,	1,	832,	48,	1,	78,	80,	3,	944,	12096
57,	7,	7,	5,	5,	32,	128,	1,	200,	4,	2,	1976,	23296
58,	7,	7,	1,	1,	832,	128,	1,	208,	80,	7,	1056,	24192
