Layer,	H,	W,	R,	S,	C,	N,	T,	W_footprint,	I_footprint,	O_footprint,	Memory_cycles,	Compute_cycles
1,	1,	1,	1,	1,	512,	4,	1,	4,	1,	1,	262504,	544
2,	1,	1,	1,	1,	512,	4,	1,	4,	1,	1,	262504,	544
3,	1,	1,	1,	1,	512,	1,	1,	1,	1,	1,	262648,	544
4,	1,	1,	1,	1,	512,	1,	1,	1,	1,	1,	262648,	544
5,	1,	1,	1,	1,	512,	1,	1,	1,	1,	1,	262648,	544
6,	1,	1,	1,	1,	1024,	4,	1,	8,	2,	1,	524200,	1056
7,	1,	1,	1,	1,	1024,	4,	1,	8,	2,	1,	524200,	1056
8,	1,	1,	1,	1,	1024,	1,	1,	2,	2,	1,	524728,	1056
9,	1,	1,	1,	1,	1024,	1,	1,	2,	2,	1,	524728,	1056
10,	1,	1,	1,	1,	1024,	1,	1,	2,	2,	1,	524728,	1056
11,	1,	1,	1,	1,	2048,	4,	1,	16,	4,	1,	1046776,	2080
12,	1,	1,	1,	1,	2048,	4,	1,	16,	4,	1,	1046776,	2080
13,	1,	1,	1,	1,	2048,	1,	1,	4,	4,	1,	1048792,	2080
14,	1,	1,	1,	1,	2048,	1,	1,	4,	4,	1,	1048792,	2080
15,	1,	1,	1,	1,	2048,	1,	1,	4,	4,	1,	1048792,	2080
16,	1,	1,	1,	1,	1536,	4,	1,	12,	3,	1,	785624,	1568
17,	1,	1,	1,	1,	1536,	4,	1,	12,	3,	1,	785624,	1568
18,	1,	1,	1,	1,	1536,	1,	1,	3,	3,	1,	786776,	1568
19,	1,	1,	1,	1,	1536,	1,	1,	3,	3,	1,	786776,	1568
20,	1,	1,	1,	1,	1536,	1,	1,	3,	3,	1,	786776,	1568
21,	1,	1,	1,	1,	256,	4,	1,	2,	1,	1,	66200,	288
22,	1,	1,	1,	1,	256,	4,	1,	2,	1,	1,	66200,	288
23,	1,	1,	1,	1,	256,	1,	1,	1,	1,	1,	66264,	288
24,	1,	1,	1,	1,	256,	1,	1,	1,	1,	1,	66264,	288
25,	1,	1,	1,	1,	256,	1,	1,	1,	1,	1,	66264,	288
