Layer,	H,	W,	R,	S,	C,	N,	T,	W_footprint,	I_footprint,	O_footprint,	Memory_cycles,	Compute_cycles
1,	112,	112,	1,	1,	64,	64,	1,	8,	1568,	784,	7232,	86016
2,	56,	56,	1,	1,	64,	256,	1,	32,	392,	784,	7232,	86016
3,	56,	56,	1,	1,	256,	64,	1,	32,	1568,	196,	2048,	64512
4,	56,	56,	1,	1,	256,	128,	2,	64,	1568,	102,	1280,	32256
5,	28,	28,	1,	1,	128,	512,	1,	128,	196,	392,	3712,	71680
6,	28,	28,	1,	1,	512,	128,	1,	128,	784,	98,	1408,	60928
7,	28,	28,	1,	1,	512,	256,	2,	256,	784,	53,	1408,	60928
8,	14,	14,	1,	1,	256,	1024,	1,	512,	98,	196,	3840,	129024
9,	28,	28,	1,	1,	512,	1024,	2,	1024,	784,	211,	4096,	243712
10,	14,	14,	1,	1,	1024,	256,	1,	512,	392,	49,	1920,	118272
11,	14,	14,	1,	1,	256,	1024,	1,	512,	98,	196,	3840,	129024
12,	14,	14,	1,	1,	1024,	512,	2,	1024,	392,	29,	1920,	118272
13,	7,	7,	3,	3,	512,	512,	1,	4608,	49,	13,	51592,	519680
14,	7,	7,	1,	1,	512,	2048,	1,	2048,	49,	98,	4096,	243712
15,	14,	14,	1,	1,	1024,	2048,	2,	4096,	392,	113,	4608,	473088
16,	7,	7,	1,	1,	2048,	512,	1,	2048,	196,	25,	2944,	232960
17,	112,	112,	1,	1,	64,	64,	1,	8,	1568,	784,	7232,	86016
18,	56,	56,	1,	1,	64,	256,	1,	32,	392,	784,	7232,	86016
19,	56,	56,	1,	1,	256,	64,	1,	32,	1568,	196,	2048,	64512
20,	56,	56,	1,	1,	256,	128,	2,	64,	1568,	102,	1280,	32256
21,	28,	28,	1,	1,	128,	512,	1,	128,	196,	392,	3712,	71680
22,	28,	28,	1,	1,	512,	128,	1,	128,	784,	98,	1408,	60928
23,	28,	28,	1,	1,	512,	256,	2,	256,	784,	53,	1408,	60928
24,	14,	14,	1,	1,	256,	1024,	1,	512,	98,	196,	3840,	129024
25,	28,	28,	1,	1,	512,	1024,	2,	1024,	784,	211,	4096,	243712
26,	14,	14,	1,	1,	1024,	256,	1,	512,	392,	49,	1920,	118272
27,	14,	14,	1,	1,	256,	1024,	1,	512,	98,	196,	3840,	129024
28,	14,	14,	1,	1,	1024,	512,	2,	1024,	392,	29,	1920,	118272
29,	7,	7,	3,	3,	512,	512,	1,	4608,	49,	13,	51592,	519680
30,	7,	7,	1,	1,	512,	2048,	1,	2048,	49,	98,	4096,	243712
31,	14,	14,	1,	1,	1024,	2048,	2,	4096,	392,	113,	4608,	473088
32,	7,	7,	1,	1,	2048,	512,	1,	2048,	196,	25,	2944,	232960
