Layer,	H,	W,	R,	S,	C,	N,	T,	W_footprint,	I_footprint,	O_footprint,	Memory_cycles,	Compute_cycles
1,	224,	224,	3,	3,	3,	32,	2,	2,	294,	389,	3632,	26432
2,	112,	112,	3,	3,	32,	1,	1,	1,	784,	12,	18679888,	143360
3,	112,	112,	1,	1,	32,	64,	1,	4,	784,	784,	7200,	57344
4,	112,	112,	3,	3,	64,	1,	2,	2,	1568,	4,	16539488,	68096
5,	56,	56,	1,	1,	64,	128,	1,	16,	392,	392,	3648,	43008
6,	56,	56,	3,	3,	128,	1,	1,	3,	784,	3,	33049192,	132608
7,	56,	56,	1,	1,	128,	128,	1,	32,	784,	392,	3712,	71680
8,	56,	56,	3,	3,	128,	1,	2,	3,	784,	1,	8262616,	33152
9,	28,	28,	1,	1,	128,	256,	1,	64,	196,	196,	1920,	35840
10,	28,	28,	3,	3,	256,	1,	1,	5,	392,	1,	16516136,	65408
11,	28,	28,	1,	1,	256,	256,	1,	128,	392,	196,	2048,	64512
12,	28,	28,	3,	3,	256,	1,	2,	5,	392,	1,	8258392,	32704
13,	14,	14,	1,	1,	256,	512,	1,	256,	98,	98,	2048,	64512
14,	14,	14,	3,	3,	512,	1,	1,	9,	196,	1,	16509240,	64960
15,	14,	14,	1,	1,	512,	512,	1,	512,	196,	98,	2304,	121856
16,	14,	14,	3,	3,	512,	1,	1,	9,	196,	1,	16509240,	64960
17,	14,	14,	1,	1,	512,	512,	1,	512,	196,	98,	2304,	121856
18,	14,	14,	3,	3,	512,	1,	1,	9,	196,	1,	16509240,	64960
19,	14,	14,	1,	1,	512,	512,	1,	512,	196,	98,	2304,	121856
20,	14,	14,	3,	3,	512,	1,	1,	9,	196,	1,	16509240,	64960
21,	14,	14,	1,	1,	512,	512,	1,	512,	196,	98,	2304,	121856
22,	14,	14,	3,	3,	512,	1,	1,	9,	196,	1,	16509240,	64960
23,	14,	14,	1,	1,	512,	512,	1,	512,	196,	98,	2304,	121856
24,	14,	14,	3,	3,	512,	1,	2,	9,	196,	1,	8255144,	32480
25,	7,	7,	1,	1,	512,	1024,	1,	1024,	49,	49,	2304,	121856
26,	7,	7,	3,	3,	1024,	1,	2,	18,	98,	1,	9441408,	36992
27,	7,	7,	1,	1,	1024,	1024,	1,	2048,	98,	49,	2816,	236544
