Layer,	H,	W,	R,	S,	C,	N,	T,	W_footprint,	I_footprint,	O_footprint,	Memory_cycles,	Compute_cycles
1,	224,	224,	7,	7,	3,	64,	1,	19,	294,	2971,	25224,	561344
2,	56,	56,	1,	1,	64,	256,	1,	32,	392,	784,	7232,	86016
3,	56,	56,	1,	1,	64,	64,	1,	8,	392,	196,	1856,	21504
4,	56,	56,	3,	3,	64,	64,	1,	72,	392,	183,	2200,	136192
5,	56,	56,	1,	1,	64,	256,	1,	32,	392,	784,	7232,	86016
6,	56,	56,	1,	1,	256,	64,	1,	32,	1568,	196,	2048,	64512
7,	56,	56,	3,	3,	64,	64,	1,	72,	392,	183,	2200,	136192
8,	56,	56,	1,	1,	64,	256,	1,	32,	392,	784,	7232,	86016
9,	56,	56,	1,	1,	256,	64,	1,	32,	1568,	196,	2048,	64512
10,	56,	56,	3,	3,	64,	64,	1,	72,	392,	183,	2200,	136192
11,	56,	56,	1,	1,	64,	256,	1,	32,	392,	784,	7232,	86016
12,	56,	56,	1,	1,	256,	512,	1,	256,	1568,	1568,	14592,	516096
13,	56,	56,	1,	1,	256,	128,	1,	64,	1568,	392,	3840,	129024
14,	56,	56,	3,	3,	128,	128,	1,	288,	784,	365,	4384,	530432
15,	28,	28,	1,	1,	128,	512,	1,	128,	196,	392,	3712,	71680
16,	28,	28,	1,	1,	512,	128,	1,	128,	784,	98,	1408,	60928
17,	28,	28,	3,	3,	128,	128,	1,	288,	196,	85,	1664,	132608
18,	28,	28,	1,	1,	128,	512,	1,	128,	196,	392,	3712,	71680
19,	28,	28,	1,	1,	512,	128,	1,	128,	784,	98,	1408,	60928
20,	28,	28,	3,	3,	128,	128,	1,	288,	196,	85,	1664,	132608
21,	28,	28,	1,	1,	128,	512,	1,	128,	196,	392,	3712,	71680
22,	28,	28,	1,	1,	512,	128,	1,	128,	784,	98,	1408,	60928
23,	28,	28,	3,	3,	128,	128,	1,	288,	196,	85,	1664,	132608
24,	28,	28,	1,	1,	128,	512,	1,	128,	196,	392,	3712,	71680
25,	28,	28,	1,	1,	512,	1024,	1,	1024,	784,	784,	7680,	487424
26,	28,	28,	1,	1,	512,	256,	1,	256,	784,	196,	2304,	121856
27,	28,	28,	3,	3,	256,	256,	1,	1152,	392,	169,	3328,	523264
28,	14,	14,	1,	1,	256,	1024,	1,	512,	98,	196,	3840,	129024
29,	14,	14,	1,	1,	1024,	256,	1,	512,	392,	49,	1920,	118272
30,	14,	14,	3,	3,	256,	256,	1,	1152,	98,	36,	2320,	261632
31,	14,	14,	1,	1,	256,	1024,	1,	512,	98,	196,	3840,	129024
32,	14,	14,	1,	1,	1024,	256,	1,	512,	392,	49,	1920,	118272
33,	14,	14,	3,	3,	256,	256,	1,	1152,	98,	36,	2320,	261632
34,	14,	14,	1,	1,	256,	1024,	1,	512,	98,	196,	3840,	129024
35,	14,	14,	1,	1,	1024,	256,	1,	512,	392,	49,	1920,	118272
36,	14,	14,	3,	3,	256,	256,	1,	1152,	98,	36,	2320,	261632
37,	14,	14,	1,	1,	256,	1024,	1,	512,	98,	196,	3840,	129024
38,	14,	14,	1,	1,	1024,	256,	1,	512,	392,	49,	1920,	118272
39,	14,	14,	3,	3,	256,	256,	1,	1152,	98,	36,	2320,	261632
40,	14,	14,	1,	1,	256,	1024,	1,	512,	98,	196,	3840,	129024
41,	14,	14,	1,	1,	1024,	256,	1,	512,	392,	49,	1920,	118272
42,	14,	14,	3,	3,	256,	256,	1,	1152,	98,	36,	2320,	261632
43,	14,	14,	1,	1,	256,	1024,	1,	512,	98,	196,	3840,	129024
44,	14,	14,	1,	1,	1024,	2048,	1,	4096,	392,	392,	8192,	946176
45,	14,	14,	1,	1,	1024,	512,	1,	1024,	392,	98,	2816,	236544
46,	14,	14,	3,	3,	512,	512,	1,	4608,	196,	72,	4640,	1039360
47,	7,	7,	1,	1,	512,	2048,	1,	2048,	49,	98,	4096,	243712
48,	7,	7,	1,	1,	2048,	512,	1,	2048,	196,	25,	2944,	232960
49,	7,	7,	3,	3,	512,	512,	1,	4608,	49,	13,	51592,	519680
50,	7,	7,	1,	1,	512,	2048,	1,	2048,	49,	98,	4096,	243712
51,	7,	7,	1,	1,	2048,	512,	1,	2048,	196,	25,	2944,	232960
52,	7,	7,	3,	3,	512,	512,	1,	4608,	49,	13,	51592,	519680
53,	7,	7,	1,	1,	512,	2048,	1,	2048,	49,	98,	4096,	243712
54,	1,	1,	1,	1,	2048,	1000,	1,	4000,	4,	1,	16781576,	66560
