Layer,	H,	W,	R,	S,	C,	N,	T,	W_footprint,	I_footprint,	O_footprint,	Memory_cycles,	Compute_cycles
1,	2048,	2048,	3,	3,	1,	64,	1,	2,	8192,	261633,	2097184,	10747904
2,	2046,	2046,	3,	3,	64,	64,	1,	72,	523265,	261121,	2095512,	159227904
3,	1022,	1022,	3,	3,	64,	128,	1,	144,	130561,	130050,	1046936,	79536128
4,	1020,	1020,	3,	3,	128,	128,	1,	288,	260100,	129541,	1045280,	154583040
5,	509,	509,	3,	3,	128,	256,	1,	576,	64771,	64263,	522024,	77139968
6,	507,	507,	3,	3,	256,	256,	1,	1152,	128525,	63757,	520744,	151597056
7,	253,	253,	3,	3,	256,	512,	1,	2304,	32005,	31501,	260648,	75649024
8,	251,	251,	3,	3,	512,	512,	1,	4608,	63001,	31001,	260160,	149073920
9,	125,	125,	3,	3,	512,	1024,	1,	9216,	15625,	15129,	131136,	74240000
10,	123,	123,	3,	3,	1024,	1024,	1,	18432,	30258,	14641,	132208,	145600512
11,	241,	241,	3,	3,	1024,	512,	1,	9216,	116162,	28561,	253040,	285282304
12,	239,	239,	3,	3,	512,	512,	1,	4608,	57121,	28085,	247872,	141946880
13,	473,	473,	3,	3,	512,	256,	1,	2304,	223729,	55461,	457216,	263366400
14,	471,	471,	3,	3,	256,	256,	1,	1152,	110921,	54991,	453736,	132030720
15,	938,	938,	3,	3,	256,	128,	1,	576,	439922,	109512,	902056,	262940160
16,	936,	936,	3,	3,	128,	128,	1,	288,	219024,	109045,	899360,	132986880
17,	1868,	1868,	3,	3,	128,	64,	1,	144,	872356,	217623,	1764192,	260982016
18,	1866,	1866,	3,	3,	64,	64,	1,	72,	435245,	217156,	1761912,	133874304
19,	1864,	1864,	1,	1,	64,	2,	1,	1,	434312,	6787,	264822248,	10557696
