Layer,	H,	W,	R,	S,	C,	N,	T,	W_footprint,	I_footprint,	O_footprint,	Memory_cycles_w,	Memory_cycles_i,	Memory_cycles_o,	Memory_cycles,	Compute_cycles,	W_DRAM,	I_DRAM,	O_DRAM,	Total_DRAM,	Total_SRAM,	Total_MACs
1,	56,	56,	3,	3,	64,	64,	1,	72,	392,	183,	6536,	6536,	6536,	8928,	136192,	76800,	836608,	229376,	1142784,	8723456,	4247040
2,	56,	56,	1,	1,	64,	256,	2,	32,	392,	204,	1792,	1792,	1792,	3864,	21504,	35840,	229376,	229376,	494592,	1383424,	577024
3,	28,	28,	3,	3,	128,	128,	1,	288,	196,	85,	6824,	6824,	6824,	10048,	132608,	297984,	873472,	114688,	1286144,	8490496,	4187904
4,	28,	28,	1,	1,	128,	512,	2,	128,	196,	106,	25352,	25352,	25352,	28192,	35840,	134144,	3245056,	229376,	3608576,	2300928,	1035776
5,	14,	14,	1,	1,	256,	256,	1,	128,	98,	49,	6856,	6856,	6856,	8800,	32256,	134144,	877568,	114688,	1126400,	2067968,	976640
6,	14,	14,	3,	3,	256,	256,	1,	1152,	98,	36,	8016,	8016,	8016,	18152,	261632,	1182720,	1026048,	114688,	2323456,	16748032,	8316672
7,	14,	14,	1,	1,	256,	1024,	2,	512,	98,	57,	29744,	29744,	29744,	35656,	64512,	527360,	3807232,	229376,	4563968,	4135936,	1953280
8,	7,	7,	1,	1,	512,	512,	1,	512,	49,	25,	9536,	9536,	9536,	14552,	60928,	527360,	1220608,	114688,	1862656,	3902976,	1894144
9,	7,	7,	1,	1,	2048,	512,	2,	2048,	196,	8,	27144,	27144,	27144,	44064,	133120,	2100224,	3474432,	65536,	5640192,	8521728,	4228096
10,	56,	56,	3,	3,	64,	64,	1,	72,	392,	183,	6536,	6536,	6536,	8928,	136192,	76800,	836608,	229376,	1142784,	8723456,	4247040
11,	56,	56,	1,	1,	64,	256,	2,	32,	392,	204,	1792,	1792,	1792,	3864,	21504,	35840,	229376,	229376,	494592,	1383424,	577024
12,	28,	28,	3,	3,	128,	128,	1,	288,	196,	85,	6824,	6824,	6824,	10048,	132608,	297984,	873472,	114688,	1286144,	8490496,	4187904
13,	28,	28,	1,	1,	128,	512,	2,	128,	196,	106,	25352,	25352,	25352,	28192,	35840,	134144,	3245056,	229376,	3608576,	2300928,	1035776
14,	14,	14,	1,	1,	256,	256,	1,	128,	98,	49,	6856,	6856,	6856,	8800,	32256,	134144,	877568,	114688,	1126400,	2067968,	976640
15,	14,	14,	3,	3,	256,	256,	1,	1152,	98,	36,	8016,	8016,	8016,	18152,	261632,	1182720,	1026048,	114688,	2323456,	16748032,	8316672
16,	14,	14,	1,	1,	256,	1024,	2,	512,	98,	57,	29744,	29744,	29744,	35656,	64512,	527360,	3807232,	229376,	4563968,	4135936,	1953280
17,	7,	7,	1,	1,	512,	512,	1,	512,	49,	25,	9536,	9536,	9536,	14552,	60928,	527360,	1220608,	114688,	1862656,	3902976,	1894144
18,	7,	7,	1,	1,	2048,	512,	2,	2048,	196,	8,	27144,	27144,	27144,	44064,	133120,	2100224,	3474432,	65536,	5640192,	8521728,	4228096
