Layer,	H,	W,	R,	S,	C,	N,	T,	W_footprint,	I_footprint,	O_footprint,	Memory_cycles_w,	Memory_cycles_i,	Memory_cycles_o,	Memory_cycles,	Compute_cycles,	W_DRAM,	I_DRAM,	O_DRAM,	Total_DRAM,	Total_SRAM,	Total_MACs
1,	1024,	16,	1,	16,	1,	4,	1,	1,	32,	4,	272,	272,	272,	901392,	49152,	114294784,	34816,	1048576,	115378176,	3178496,	1064960
2,	1024,	16,	1,	16,	1,	3,	1,	1,	32,	3,	272,	272,	272,	901392,	49152,	114294784,	34816,	1048576,	115378176,	3178496,	1064960
3,	1024,	16,	1,	16,	1,	2,	1,	1,	32,	2,	272,	272,	272,	901392,	49152,	114294784,	34816,	1048576,	115378176,	3178496,	1064960
4,	1024,	13,	1,	13,	1,	512,	1,	13,	26,	512,	3464,	3464,	3464,	134664,	737280,	16384,	443392,	16777216,	17236992,	47710208,	15466496
5,	1024,	512,	1,	512,	1,	256,	1,	256,	1024,	256,	65608,	65608,	65608,	1116256,	71303168,	265216,	8397824,	134217728,	142880768,	4567597056,	2216689664
6,	1024,	256,	1,	256,	1,	64,	1,	32,	512,	64,	8216,	8216,	8216,	139568,	4718592,	35840,	1051648,	16777216,	17864704,	302514176,	142868480
7,	1024,	64,	1,	64,	1,	16,	1,	2,	128,	16,	1040,	1040,	1040,	6472632,	196608,	826266624,	133120,	2097152,	828496896,	12648448,	5275648
8,	1024,	22,	1,	22,	1,	512,	1,	22,	44,	512,	5768,	5768,	5768,	137040,	884736,	25600,	738304,	16777216,	17541120,	57147392,	20185088
9,	1024,	512,	1,	512,	1,	256,	1,	256,	1024,	256,	65608,	65608,	65608,	1116256,	71303168,	265216,	8397824,	134217728,	142880768,	4567597056,	2216689664
10,	1024,	256,	1,	256,	1,	1,	1,	1,	512,	1,	4112,	4112,	4112,	281022480,	2359296,	35961962496,	526336,	8388608,	35970877440,	151257088,	71434240
