Layer,	H,	W,	R,	S,	C,	N,	T,	W_footprint,	I_footprint,	O_footprint,	Memory_cycles_w,	Memory_cycles_i,	Memory_cycles_o,	Memory_cycles,	Compute_cycles,	W_DRAM,	I_DRAM,	O_DRAM,	Total_DRAM,	Total_SRAM,	Total_MACs
1,	224,	224,	7,	7,	3,	64,	2,	19,	294,	750,	4840,	4840,	4840,	12168,	160384,	20480,	619520,	917504,	1557504,	10293248,	4687872
2,	56,	56,	1,	1,	64,	64,	1,	8,	392,	196,	6296,	6296,	6296,	8176,	21504,	11264,	805888,	229376,	1046528,	1383424,	577024
3,	56,	56,	3,	3,	64,	64,	1,	72,	392,	183,	6536,	6536,	6536,	8928,	136192,	76800,	836608,	229376,	1142784,	8723456,	4247040
4,	56,	56,	1,	1,	64,	256,	1,	32,	392,	784,	25160,	25160,	25160,	32608,	86016,	35840,	3220480,	917504,	4173824,	5533696,	2308096
5,	56,	56,	1,	1,	64,	256,	1,	32,	392,	784,	25160,	25160,	25160,	32608,	86016,	35840,	3220480,	917504,	4173824,	5533696,	2308096
6,	56,	56,	1,	1,	256,	64,	1,	32,	1568,	196,	25160,	25160,	25160,	27232,	64512,	35840,	3220480,	229376,	3485696,	4135936,	1953280
7,	56,	56,	3,	3,	64,	64,	1,	72,	392,	183,	6536,	6536,	6536,	8928,	136192,	76800,	836608,	229376,	1142784,	8723456,	4247040
8,	56,	56,	1,	1,	64,	256,	1,	32,	392,	784,	25160,	25160,	25160,	32608,	86016,	35840,	3220480,	917504,	4173824,	5533696,	2308096
9,	56,	56,	1,	1,	256,	64,	1,	32,	1568,	196,	25160,	25160,	25160,	27232,	64512,	35840,	3220480,	229376,	3485696,	4135936,	1953280
10,	56,	56,	3,	3,	64,	64,	1,	72,	392,	183,	6536,	6536,	6536,	8928,	136192,	76800,	836608,	229376,	1142784,	8723456,	4247040
11,	56,	56,	1,	1,	64,	256,	1,	32,	392,	784,	25160,	25160,	25160,	32608,	86016,	35840,	3220480,	917504,	4173824,	5533696,	2308096
12,	56,	56,	1,	1,	256,	128,	2,	64,	1568,	102,	7168,	7168,	7168,	8600,	32256,	68608,	917504,	114688,	1100800,	2067968,	976640
13,	28,	28,	3,	3,	128,	128,	1,	288,	196,	85,	6824,	6824,	6824,	10048,	132608,	297984,	873472,	114688,	1286144,	8490496,	4187904
14,	28,	28,	1,	1,	128,	512,	1,	128,	196,	392,	25224,	25224,	25224,	29856,	71680,	134144,	3228672,	458752,	3821568,	4601856,	2071552
15,	56,	56,	1,	1,	256,	512,	2,	256,	1568,	407,	7168,	7168,	7168,	12824,	129024,	265216,	917504,	458752,	1641472,	8271872,	3906560
