Layer,	H,	W,	R,	S,	C,	N,	T,	W_footprint,	I_footprint,	O_footprint,	Memory_cycles_w,	Memory_cycles_i,	Memory_cycles_o,	Memory_cycles,	Compute_cycles,	W_DRAM,	I_DRAM,	O_DRAM,	Total_DRAM,	Total_SRAM,	Total_MACs
1,	1,	1024,	1,	1024,	1,	4,	1,	8,	2,	1,	912,	912,	912,	8387920,	33792,	1073504256,	116736,	32768,	1073653760,	2163712,	1065472
2,	1,	1024,	1,	1024,	1,	4,	1,	8,	2,	1,	912,	912,	912,	8387920,	33792,	1073504256,	116736,	32768,	1073653760,	2163712,	1065472
3,	1,	1024,	1,	1024,	1,	4,	1,	8,	2,	1,	912,	912,	912,	8387920,	33792,	1073504256,	116736,	32768,	1073653760,	2163712,	1065472
4,	1,	1024,	1,	1024,	1,	4,	1,	8,	2,	1,	912,	912,	912,	8387920,	33792,	1073504256,	116736,	32768,	1073653760,	2163712,	1065472
5,	1,	1024,	1,	1024,	1,	4,	1,	8,	2,	1,	912,	912,	912,	8387920,	33792,	1073504256,	116736,	32768,	1073653760,	2163712,	1065472
6,	1,	1024,	1,	1024,	1,	4,	1,	8,	2,	1,	912,	912,	912,	8387920,	33792,	1073504256,	116736,	32768,	1073653760,	2163712,	1065472
7,	1,	1024,	1,	1024,	1,	4,	1,	8,	2,	1,	912,	912,	912,	8387920,	33792,	1073504256,	116736,	32768,	1073653760,	2163712,	1065472
8,	1,	1024,	1,	1024,	1,	4,	1,	8,	2,	1,	912,	912,	912,	8387920,	33792,	1073504256,	116736,	32768,	1073653760,	2163712,	1065472
9,	1,	1024,	1,	1024,	1,	4,	1,	8,	2,	1,	912,	912,	912,	8387920,	33792,	1073504256,	116736,	32768,	1073653760,	2163712,	1065472
10,	1,	1024,	1,	1024,	1,	4,	1,	8,	2,	1,	912,	912,	912,	8387920,	33792,	1073504256,	116736,	32768,	1073653760,	2163712,	1065472
11,	1,	1024,	1,	1024,	1,	4,	1,	8,	2,	1,	912,	912,	912,	8387920,	33792,	1073504256,	116736,	32768,	1073653760,	2163712,	1065472
12,	1,	1024,	1,	1024,	1,	4,	1,	8,	2,	1,	912,	912,	912,	8387920,	33792,	1073504256,	116736,	32768,	1073653760,	2163712,	1065472
13,	1,	1024,	1,	1024,	1,	4,	1,	8,	2,	1,	912,	912,	912,	8387920,	33792,	1073504256,	116736,	32768,	1073653760,	2163712,	1065472
14,	1,	1024,	1,	1024,	1,	4,	1,	8,	2,	1,	912,	912,	912,	8387920,	33792,	1073504256,	116736,	32768,	1073653760,	2163712,	1065472
15,	1,	1024,	1,	1024,	1,	4,	1,	8,	2,	1,	912,	912,	912,	8387920,	33792,	1073504256,	116736,	32768,	1073653760,	2163712,	1065472
16,	1,	1024,	1,	1024,	1,	4,	1,	8,	2,	1,	912,	912,	912,	8387920,	33792,	1073504256,	116736,	32768,	1073653760,	2163712,	1065472
17,	1,	1024,	1,	1024,	1,	4,	1,	8,	2,	1,	912,	912,	912,	8387920,	33792,	1073504256,	116736,	32768,	1073653760,	2163712,	1065472
