Layer,	H,	W,	R,	S,	C,	N,	T,	W_footprint,	I_footprint,	O_footprint,	Memory_cycles_w,	Memory_cycles_i,	Memory_cycles_o,	Memory_cycles,	Compute_cycles,	W_DRAM,	I_DRAM,	O_DRAM,	Total_DRAM,	Total_SRAM,	Total_MACs
2,	224,	224,	7,	7,	3,	64,	2,	19,	294,	750,	4840,	4840,	4840,	12168,	160384,	20480,	619520,	917504,	1557504,	10293248,	4687872
3,	56,	56,	1,	1,	64,	64,	1,	8,	392,	196,	6296,	6296,	6296,	8176,	21504,	11264,	805888,	229376,	1046528,	1383424,	577024
4,	56,	56,	3,	3,	64,	192,	1,	216,	392,	547,	19592,	19592,	19592,	26720,	408576,	224256,	2507776,	688128,	3420160,	26170368,	12741120
5,	28,	28,	1,	1,	192,	64,	1,	24,	294,	49,	4744,	4744,	4744,	5408,	12544,	27648,	607232,	57344,	692224,	804608,	373632
6,	28,	28,	1,	1,	192,	96,	1,	36,	294,	74,	7112,	7112,	7112,	8096,	18816,	39936,	910336,	86016,	1036288,	1206912,	560448
7,	28,	28,	3,	3,	96,	128,	1,	216,	147,	85,	5128,	5128,	5128,	7776,	100352,	224256,	656384,	114688,	995328,	6426112,	3155712
8,	28,	28,	1,	1,	192,	16,	1,	6,	294,	13,	2376,	2376,	2376,	540544,	6272,	68856832,	304128,	28672,	69189632,	402304,	186816
9,	28,	28,	5,	5,	16,	32,	1,	25,	25,	18,	240,	240,	240,	461832,	12096,	59055104,	30720,	28672,	59114496,	775040,	373184
10,	28,	28,	1,	1,	192,	32,	1,	12,	294,	25,	2376,	2376,	2376,	294984,	6272,	37425152,	304128,	28672,	37757952,	402304,	186816
11,	28,	28,	1,	1,	256,	128,	1,	64,	392,	98,	12616,	12616,	12616,	14048,	32256,	68608,	1614848,	114688,	1798144,	2067968,	976640
12,	28,	28,	1,	1,	256,	128,	1,	64,	392,	98,	12616,	12616,	12616,	14048,	32256,	68608,	1614848,	114688,	1798144,	2067968,	976640
13,	28,	28,	3,	3,	128,	192,	1,	432,	196,	127,	10232,	10232,	10232,	15056,	198912,	445440,	1309696,	172032,	1927168,	12735744,	6281856
14,	28,	28,	1,	1,	256,	32,	1,	16,	392,	25,	3160,	3160,	3160,	377760,	8064,	47920128,	404480,	28672,	48353280,	516992,	244160
15,	28,	28,	5,	5,	32,	96,	1,	150,	49,	54,	1400,	1400,	1400,	3296,	69888,	156672,	179200,	86016,	421888,	4475520,	2194752
16,	28,	28,	1,	1,	256,	64,	1,	32,	392,	49,	6312,	6312,	6312,	7040,	16128,	35840,	807936,	57344,	901120,	1033984,	488320
17,	14,	14,	1,	1,	480,	192,	1,	180,	184,	37,	9656,	9656,	9656,	11792,	43008,	187392,	1235968,	86016,	1509376,	2755200,	1334592
18,	14,	14,	1,	1,	480,	96,	1,	90,	184,	19,	4832,	4832,	4832,	5912,	21504,	95232,	618496,	43008,	756736,	1377600,	667296
19,	14,	14,	3,	3,	96,	208,	1,	351,	37,	30,	2648,	2648,	2648,	6480,	87808,	390144,	338944,	100352,	829440,	5622848,	2761248
20,	14,	14,	1,	1,	480,	16,	1,	15,	184,	4,	1616,	1616,	1616,	1593352,	7168,	203727872,	206848,	14336,	203949056,	459200,	222432
21,	14,	14,	5,	5,	16,	48,	1,	38,	7,	5,	168,	168,	168,	816,	12096,	54272,	21504,	28672,	104448,	775040,	373184
22,	14,	14,	1,	1,	480,	64,	1,	60,	184,	13,	3224,	3224,	3224,	3952,	14336,	64512,	412672,	28672,	505856,	918400,	444864
23,	14,	14,	1,	1,	512,	160,	1,	160,	196,	31,	8568,	8568,	8568,	10432,	38080,	166912,	1096704,	71680,	1335296,	2439360,	1183840
24,	14,	14,	1,	1,	512,	112,	1,	112,	196,	22,	6856,	6856,	6856,	8352,	30464,	134144,	877568,	57344,	1069056,	1951488,	947072
25,	14,	14,	3,	3,	112,	224,	1,	441,	43,	32,	3096,	3096,	3096,	7432,	101920,	454656,	396288,	100352,	951296,	6526016,	3212832
26,	14,	14,	1,	1,	512,	24,	1,	24,	196,	5,	1720,	1720,	1720,	1773256,	7616,	226742272,	220160,	14336,	226976768,	487872,	236768
27,	14,	14,	5,	5,	24,	64,	1,	75,	10,	7,	232,	232,	232,	1080,	17696,	79872,	29696,	28672,	138240,	1133440,	552384
28,	14,	14,	1,	1,	512,	64,	1,	64,	196,	13,	3432,	3432,	3432,	4192,	15232,	68608,	439296,	28672,	536576,	975744,	473536
29,	14,	14,	1,	1,	512,	128,	1,	128,	196,	25,	6856,	6856,	6856,	8352,	30464,	134144,	877568,	57344,	1069056,	1951488,	947072
30,	14,	14,	1,	1,	512,	128,	1,	128,	196,	25,	6856,	6856,	6856,	8352,	30464,	134144,	877568,	57344,	1069056,	1951488,	947072
31,	14,	14,	3,	3,	128,	256,	1,	576,	49,	36,	4048,	4048,	4048,	9576,	132608,	592896,	518144,	114688,	1225728,	8490496,	4187904
32,	14,	14,	1,	1,	512,	24,	1,	24,	196,	5,	1720,	1720,	1720,	1773256,	7616,	226742272,	220160,	14336,	226976768,	487872,	236768
33,	14,	14,	1,	1,	24,	64,	1,	3,	10,	13,	184,	184,	184,	872,	1568,	59392,	23552,	28672,	111616,	101248,	36288
34,	14,	14,	1,	1,	512,	64,	1,	64,	196,	13,	3432,	3432,	3432,	4192,	15232,	68608,	439296,	28672,	536576,	975744,	473536
35,	14,	14,	1,	1,	512,	112,	1,	112,	196,	22,	6856,	6856,	6856,	8352,	30464,	134144,	877568,	57344,	1069056,	1951488,	947072
36,	14,	14,	1,	1,	512,	144,	1,	144,	196,	28,	8568,	8568,	8568,	10432,	38080,	166912,	1096704,	71680,	1335296,	2439360,	1183840
37,	14,	14,	3,	3,	144,	288,	1,	729,	56,	41,	5128,	5128,	5128,	11992,	167328,	749568,	656384,	129024,	1534976,	10713024,	5292000
38,	14,	14,	1,	1,	512,	32,	1,	32,	196,	7,	1720,	1720,	1720,	6176,	7616,	556032,	220160,	14336,	790528,	487872,	236768
39,	14,	14,	5,	5,	32,	64,	1,	100,	13,	7,	312,	312,	312,	1360,	23296,	105472,	39936,	28672,	174080,	1491840,	731584
40,	14,	14,	1,	1,	512,	64,	1,	64,	196,	13,	3432,	3432,	3432,	4192,	15232,	68608,	439296,	28672,	536576,	975744,	473536
41,	14,	14,	1,	1,	528,	256,	1,	264,	203,	49,	14152,	14152,	14152,	17184,	62720,	273408,	1811456,	114688,	2199552,	4017664,	1951488
42,	14,	14,	1,	1,	528,	160,	1,	165,	203,	31,	8848,	8848,	8848,	10752,	39200,	172032,	1132544,	71680,	1376256,	2511040,	1219680
43,	14,	14,	3,	3,	160,	320,	1,	900,	62,	45,	6344,	6344,	6344,	14688,	206080,	924672,	812032,	143360,	1880064,	13193600,	6525120
44,	14,	14,	1,	1,	528,	32,	1,	33,	203,	7,	1776,	1776,	1776,	6088,	7840,	537600,	227328,	14336,	779264,	502208,	243936
45,	14,	14,	5,	5,	32,	128,	1,	200,	13,	13,	624,	624,	624,	2696,	46592,	207872,	79872,	57344,	345088,	2983680,	1463168
46,	14,	14,	1,	1,	528,	128,	1,	132,	203,	25,	7080,	7080,	7080,	8608,	31360,	138240,	906240,	57344,	1101824,	2008832,	975744
47,	7,	7,	1,	1,	832,	256,	1,	416,	80,	13,	7776,	7776,	7776,	11576,	48384,	429056,	995328,	57344,	1481728,	3098368,	1520512
48,	7,	7,	1,	1,	532,	160,	1,	167,	51,	8,	3104,	3104,	3104,	4728,	19740,	172032,	397312,	35840,	605184,	1264480,	614320
49,	7,	7,	3,	3,	160,	320,	1,	900,	16,	8,	7848,	7848,	7848,	15632,	103040,	924672,	1004544,	71680,	2000896,	6596800,	3262560
50,	7,	7,	1,	1,	832,	32,	1,	52,	80,	2,	976,	976,	976,	4168,	6048,	401408,	124928,	7168,	533504,	387296,	190064
