Layer,	H,	W,	R,	S,	C,	N,	T,	W_footprint,	I_footprint,	O_footprint,	Memory_cycles_w,	Memory_cycles_i,	Memory_cycles_o,	Memory_cycles,	Compute_cycles,	W_DRAM,	I_DRAM,	O_DRAM,	Total_DRAM,	Total_SRAM,	Total_MACs
1,	1,	1,	1,	1,	512,	4,	1,	4,	1,	1,	131320,	131320,	131320,	262480,	544,	16787456,	16808960,	1024,	33597440,	34848,	16912
2,	1,	1,	1,	1,	512,	4,	1,	4,	1,	1,	131320,	131320,	131320,	262480,	544,	16787456,	16808960,	1024,	33597440,	34848,	16912
3,	1,	1,	1,	1,	512,	1,	1,	1,	1,	1,	131320,	131320,	131320,	262656,	544,	16809984,	16808960,	1024,	33619968,	34848,	16912
4,	1,	1,	1,	1,	512,	1,	1,	1,	1,	1,	131320,	131320,	131320,	262656,	544,	16809984,	16808960,	1024,	33619968,	34848,	16912
5,	1,	1,	1,	1,	512,	1,	1,	1,	1,	1,	131320,	131320,	131320,	262656,	544,	16809984,	16808960,	1024,	33619968,	34848,	16912
6,	1,	1,	1,	1,	1024,	4,	1,	8,	2,	1,	262360,	262360,	262360,	524392,	1056,	33539072,	33582080,	1024,	67122176,	67616,	33296
7,	1,	1,	1,	1,	1024,	4,	1,	8,	2,	1,	262360,	262360,	262360,	524392,	1056,	33539072,	33582080,	1024,	67122176,	67616,	33296
8,	1,	1,	1,	1,	1024,	1,	1,	2,	2,	1,	262360,	262360,	262360,	524976,	1056,	33613824,	33582080,	1024,	67196928,	67616,	33296
9,	1,	1,	1,	1,	1024,	1,	1,	2,	2,	1,	262360,	262360,	262360,	524976,	1056,	33613824,	33582080,	1024,	67196928,	67616,	33296
10,	1,	1,	1,	1,	1024,	1,	1,	2,	2,	1,	262360,	262360,	262360,	524976,	1056,	33613824,	33582080,	1024,	67196928,	67616,	33296
11,	1,	1,	1,	1,	2048,	4,	1,	16,	4,	1,	524392,	524392,	524392,	1046904,	2080,	66880512,	67122176,	1024,	134003712,	133152,	66064
12,	1,	1,	1,	1,	2048,	4,	1,	16,	4,	1,	524392,	524392,	524392,	1046904,	2080,	66880512,	67122176,	1024,	134003712,	133152,	66064
13,	1,	1,	1,	1,	2048,	1,	1,	4,	4,	1,	524392,	524392,	524392,	1049016,	2080,	67150848,	67122176,	1024,	134274048,	133152,	66064
14,	1,	1,	1,	1,	2048,	1,	1,	4,	4,	1,	524392,	524392,	524392,	1049016,	2080,	67150848,	67122176,	1024,	134274048,	133152,	66064
15,	1,	1,	1,	1,	2048,	1,	1,	4,	4,	1,	524392,	524392,	524392,	1049016,	2080,	67150848,	67122176,	1024,	134274048,	133152,	66064
