Layer,	H,	W,	R,	S,	C,	N,	T,	W_footprint,	I_footprint,	O_footprint,	Memory_cycles_w,	Memory_cycles_i,	Memory_cycles_o,	Memory_cycles,	Compute_cycles,	W_DRAM,	I_DRAM,	O_DRAM,	Total_DRAM,	Total_SRAM,	Total_MACs
1,	224,	224,	3,	3,	3,	32,	2,	2,	294,	389,	2376,	2376,	2376,	145736,	26432,	17891328,	304128,	458752,	18654208,	1705984,	623616
2,	112,	112,	3,	3,	32,	1,	1,	1,	784,	12,	6408,	6408,	6408,	19266824,	143360,	2464874496,	820224,	458752,	2466153472,	9189376,	4365312
3,	112,	112,	1,	1,	32,	64,	1,	4,	784,	784,	12568,	12568,	12568,	19792,	57344,	7168,	1608704,	917504,	2533376,	3698688,	1390592
4,	112,	112,	3,	3,	64,	1,	2,	2,	1568,	4,	12688,	12688,	12688,	16581512,	68096,	2120694784,	1624064,	114688,	2122433536,	4361728,	2123520
5,	56,	56,	1,	1,	64,	128,	1,	16,	392,	392,	12584,	12584,	12584,	16320,	43008,	19456,	1610752,	458752,	2088960,	2766848,	1154048
6,	56,	56,	3,	3,	128,	1,	1,	3,	784,	3,	6536,	6536,	6536,	33085040,	132608,	4233933824,	836608,	114688,	4234885120,	8490496,	4187904
7,	56,	56,	1,	1,	128,	128,	1,	32,	784,	392,	25160,	25160,	25160,	29024,	71680,	35840,	3220480,	458752,	3715072,	4601856,	2071552
8,	56,	56,	3,	3,	128,	1,	2,	3,	784,	1,	6424,	6424,	6424,	8276032,	33152,	1058481152,	822272,	28672,	1059332096,	2122624,	1046976
9,	28,	28,	1,	1,	128,	256,	1,	64,	196,	196,	12616,	12616,	12616,	14944,	35840,	68608,	1614848,	229376,	1912832,	2300928,	1035776
10,	28,	28,	3,	3,	256,	1,	1,	5,	392,	1,	3416,	3416,	3416,	16526512,	65408,	2114927616,	437248,	28672,	2115393536,	4187008,	2079168
11,	28,	28,	1,	1,	256,	256,	1,	128,	392,	196,	25224,	25224,	25224,	28064,	64512,	134144,	3228672,	229376,	3592192,	4135936,	1953280
12,	28,	28,	3,	3,	256,	1,	2,	5,	392,	1,	3432,	3432,	3432,	8264960,	32704,	1057461248,	439296,	14336,	1057914880,	2093504,	1039584
13,	14,	14,	1,	1,	256,	512,	1,	256,	98,	98,	13712,	13712,	13712,	17576,	64512,	265216,	1755136,	229376,	2249728,	4135936,	1953280
14,	14,	14,	3,	3,	512,	1,	1,	9,	196,	1,	2008,	2008,	2008,	16514320,	64960,	2113561600,	257024,	14336,	2113832960,	4157888,	2071776
15,	14,	14,	1,	1,	512,	512,	1,	512,	196,	98,	27408,	27408,	27408,	33320,	121856,	527360,	3508224,	229376,	4264960,	7805952,	3788288
16,	14,	14,	3,	3,	512,	1,	1,	9,	196,	1,	2008,	2008,	2008,	16514320,	64960,	2113561600,	257024,	14336,	2113832960,	4157888,	2071776
17,	14,	14,	1,	1,	512,	512,	1,	512,	196,	98,	27408,	27408,	27408,	33320,	121856,	527360,	3508224,	229376,	4264960,	7805952,	3788288
18,	14,	14,	3,	3,	512,	1,	1,	9,	196,	1,	2008,	2008,	2008,	16514320,	64960,	2113561600,	257024,	14336,	2113832960,	4157888,	2071776
19,	14,	14,	1,	1,	512,	512,	1,	512,	196,	98,	27408,	27408,	27408,	33320,	121856,	527360,	3508224,	229376,	4264960,	7805952,	3788288
20,	14,	14,	3,	3,	512,	1,	1,	9,	196,	1,	2008,	2008,	2008,	16514320,	64960,	2113561600,	257024,	14336,	2113832960,	4157888,	2071776
21,	14,	14,	1,	1,	512,	512,	1,	512,	196,	98,	27408,	27408,	27408,	33320,	121856,	527360,	3508224,	229376,	4264960,	7805952,	3788288
22,	14,	14,	3,	3,	512,	1,	1,	9,	196,	1,	2008,	2008,	2008,	16514320,	64960,	2113561600,	257024,	14336,	2113832960,	4157888,	2071776
23,	14,	14,	1,	1,	512,	512,	1,	512,	196,	98,	27408,	27408,	27408,	33320,	121856,	527360,	3508224,	229376,	4264960,	7805952,	3788288
24,	14,	14,	3,	3,	512,	1,	2,	9,	196,	1,	2144,	2144,	2144,	8258264,	32480,	1056776192,	274432,	7168,	1057057792,	2078944,	1035888
25,	7,	7,	1,	1,	512,	1024,	1,	1024,	49,	49,	19072,	19072,	19072,	29080,	121856,	1051648,	2441216,	229376,	3722240,	7805952,	3788288
26,	7,	7,	3,	3,	1024,	1,	2,	18,	98,	1,	13792,	13792,	13792,	9442000,	36992,	1206806528,	1765376,	4096,	1208576000,	2367616,	1181760
27,	7,	7,	1,	1,	1024,	1024,	1,	2048,	98,	49,	37992,	37992,	37992,	56192,	236544,	2100224,	4862976,	229376,	7192576,	15145984,	7458304
