Layer,	H,	W,	R,	S,	C,	N,	T,	W_footprint,	I_footprint,	O_footprint,	Memory_cycles_w,	Memory_cycles_i,	Memory_cycles_o,	Memory_cycles,	Compute_cycles,	W_DRAM,	I_DRAM,	O_DRAM,	Total_DRAM,	Total_SRAM,	Total_MACs
1,	112,	112,	1,	1,	64,	64,	1,	8,	1568,	784,	25128,	25128,	25128,	32384,	86016,	11264,	3216384,	917504,	4145152,	5533696,	2308096
2,	56,	56,	1,	1,	64,	256,	1,	32,	392,	784,	25160,	25160,	25160,	32608,	86016,	35840,	3220480,	917504,	4173824,	5533696,	2308096
3,	56,	56,	1,	1,	256,	64,	1,	32,	1568,	196,	25160,	25160,	25160,	27232,	64512,	35840,	3220480,	229376,	3485696,	4135936,	1953280
4,	56,	56,	1,	1,	256,	128,	2,	64,	1568,	102,	7168,	7168,	7168,	8600,	32256,	68608,	917504,	114688,	1100800,	2067968,	976640
5,	28,	28,	1,	1,	128,	512,	1,	128,	196,	392,	25224,	25224,	25224,	29856,	71680,	134144,	3228672,	458752,	3821568,	4601856,	2071552
6,	28,	28,	1,	1,	512,	128,	1,	128,	784,	98,	25224,	25224,	25224,	27168,	60928,	134144,	3228672,	114688,	3477504,	3902976,	1894144
7,	28,	28,	1,	1,	512,	256,	2,	256,	784,	53,	3168,	3168,	3168,	6136,	60928,	265216,	405504,	114688,	785408,	3902976,	1894144
8,	14,	14,	1,	1,	256,	1024,	1,	512,	98,	196,	27416,	27416,	27416,	35120,	129024,	527360,	3509248,	458752,	4495360,	8271872,	3906560
9,	28,	28,	1,	1,	512,	1024,	2,	1024,	784,	211,	3168,	3168,	3168,	14968,	243712,	1051648,	405504,	458752,	1915904,	15611904,	7576576
10,	14,	14,	1,	1,	1024,	256,	1,	512,	392,	49,	27400,	27400,	27400,	32416,	118272,	527360,	3507200,	114688,	4149248,	7572992,	3729152
11,	14,	14,	1,	1,	256,	1024,	1,	512,	98,	196,	27416,	27416,	27416,	35120,	129024,	527360,	3509248,	458752,	4495360,	8271872,	3906560
12,	14,	14,	1,	1,	1024,	512,	2,	1024,	392,	29,	1856,	1856,	1856,	10968,	118272,	1051648,	237568,	114688,	1403904,	7572992,	3729152
13,	7,	7,	3,	3,	512,	512,	1,	4608,	49,	13,	12392,	12392,	12392,	50176,	519680,	4721664,	1586176,	114688,	6422528,	33263104,	16574208
14,	7,	7,	1,	1,	512,	2048,	1,	2048,	49,	98,	38144,	38144,	38144,	58136,	243712,	2100224,	4882432,	458752,	7441408,	15611904,	7576576
15,	14,	14,	1,	1,	1024,	2048,	2,	4096,	392,	113,	1856,	1856,	1856,	38232,	473088,	4197376,	237568,	458752,	4893696,	30291968,	14916608
16,	7,	7,	1,	1,	2048,	512,	1,	2048,	196,	25,	37936,	37936,	37936,	55240,	232960,	2100224,	4855808,	114688,	7070720,	14913024,	7399168
17,	112,	112,	1,	1,	64,	64,	1,	8,	1568,	784,	25128,	25128,	25128,	32384,	86016,	11264,	3216384,	917504,	4145152,	5533696,	2308096
18,	56,	56,	1,	1,	64,	256,	1,	32,	392,	784,	25160,	25160,	25160,	32608,	86016,	35840,	3220480,	917504,	4173824,	5533696,	2308096
19,	56,	56,	1,	1,	256,	64,	1,	32,	1568,	196,	25160,	25160,	25160,	27232,	64512,	35840,	3220480,	229376,	3485696,	4135936,	1953280
20,	56,	56,	1,	1,	256,	128,	2,	64,	1568,	102,	7168,	7168,	7168,	8600,	32256,	68608,	917504,	114688,	1100800,	2067968,	976640
21,	28,	28,	1,	1,	128,	512,	1,	128,	196,	392,	25224,	25224,	25224,	29856,	71680,	134144,	3228672,	458752,	3821568,	4601856,	2071552
22,	28,	28,	1,	1,	512,	128,	1,	128,	784,	98,	25224,	25224,	25224,	27168,	60928,	134144,	3228672,	114688,	3477504,	3902976,	1894144
23,	28,	28,	1,	1,	512,	256,	2,	256,	784,	53,	3168,	3168,	3168,	6136,	60928,	265216,	405504,	114688,	785408,	3902976,	1894144
24,	14,	14,	1,	1,	256,	1024,	1,	512,	98,	196,	27416,	27416,	27416,	35120,	129024,	527360,	3509248,	458752,	4495360,	8271872,	3906560
25,	28,	28,	1,	1,	512,	1024,	2,	1024,	784,	211,	3168,	3168,	3168,	14968,	243712,	1051648,	405504,	458752,	1915904,	15611904,	7576576
26,	14,	14,	1,	1,	1024,	256,	1,	512,	392,	49,	27400,	27400,	27400,	32416,	118272,	527360,	3507200,	114688,	4149248,	7572992,	3729152
27,	14,	14,	1,	1,	256,	1024,	1,	512,	98,	196,	27416,	27416,	27416,	35120,	129024,	527360,	3509248,	458752,	4495360,	8271872,	3906560
28,	14,	14,	1,	1,	1024,	512,	2,	1024,	392,	29,	1856,	1856,	1856,	10968,	118272,	1051648,	237568,	114688,	1403904,	7572992,	3729152
29,	7,	7,	3,	3,	512,	512,	1,	4608,	49,	13,	12392,	12392,	12392,	50176,	519680,	4721664,	1586176,	114688,	6422528,	33263104,	16574208
30,	7,	7,	1,	1,	512,	2048,	1,	2048,	49,	98,	38144,	38144,	38144,	58136,	243712,	2100224,	4882432,	458752,	7441408,	15611904,	7576576
31,	14,	14,	1,	1,	1024,	2048,	2,	4096,	392,	113,	1856,	1856,	1856,	38232,	473088,	4197376,	237568,	458752,	4893696,	30291968,	14916608
32,	7,	7,	1,	1,	2048,	512,	1,	2048,	196,	25,	37936,	37936,	37936,	55240,	232960,	2100224,	4855808,	114688,	7070720,	14913024,	7399168
