Layer,	H,	W,	R,	S,	C,	N,	T,	W_footprint,	I_footprint,	O_footprint,	Memory_cycles_w,	Memory_cycles_i,	Memory_cycles_o,	Memory_cycles,	Compute_cycles,	W_DRAM,	I_DRAM,	O_DRAM,	Total_DRAM,	Total_SRAM,	Total_MACs
1,	224,	224,	7,	7,	3,	64,	1,	19,	294,	2971,	4856,	4856,	4856,	30104,	561344,	20480,	621568,	3211264,	3853312,	36026368,	16407552
2,	56,	56,	1,	1,	64,	256,	1,	32,	392,	784,	25160,	25160,	25160,	32608,	86016,	35840,	3220480,	917504,	4173824,	5533696,	2308096
3,	56,	56,	1,	1,	64,	64,	1,	8,	392,	196,	6296,	6296,	6296,	8176,	21504,	11264,	805888,	229376,	1046528,	1383424,	577024
4,	56,	56,	3,	3,	64,	64,	1,	72,	392,	183,	6536,	6536,	6536,	8928,	136192,	76800,	836608,	229376,	1142784,	8723456,	4247040
5,	56,	56,	1,	1,	64,	256,	1,	32,	392,	784,	25160,	25160,	25160,	32608,	86016,	35840,	3220480,	917504,	4173824,	5533696,	2308096
6,	56,	56,	1,	1,	256,	64,	1,	32,	1568,	196,	25160,	25160,	25160,	27232,	64512,	35840,	3220480,	229376,	3485696,	4135936,	1953280
7,	56,	56,	3,	3,	64,	64,	1,	72,	392,	183,	6536,	6536,	6536,	8928,	136192,	76800,	836608,	229376,	1142784,	8723456,	4247040
8,	56,	56,	1,	1,	64,	256,	1,	32,	392,	784,	25160,	25160,	25160,	32608,	86016,	35840,	3220480,	917504,	4173824,	5533696,	2308096
9,	56,	56,	1,	1,	256,	64,	1,	32,	1568,	196,	25160,	25160,	25160,	27232,	64512,	35840,	3220480,	229376,	3485696,	4135936,	1953280
10,	56,	56,	3,	3,	64,	64,	1,	72,	392,	183,	6536,	6536,	6536,	8928,	136192,	76800,	836608,	229376,	1142784,	8723456,	4247040
11,	56,	56,	1,	1,	64,	256,	1,	32,	392,	784,	25160,	25160,	25160,	32608,	86016,	35840,	3220480,	917504,	4173824,	5533696,	2308096
12,	56,	56,	1,	1,	256,	512,	1,	256,	1568,	1568,	201224,	201224,	201224,	217632,	516096,	265216,	25756672,	1835008,	27856896,	33087488,	15626240
13,	56,	56,	1,	1,	256,	128,	1,	64,	1568,	392,	50312,	50312,	50312,	54432,	129024,	68608,	6439936,	458752,	6967296,	8271872,	3906560
14,	56,	56,	3,	3,	128,	128,	1,	288,	784,	365,	26120,	26120,	26120,	32032,	530432,	297984,	3343360,	458752,	4100096,	33961984,	16751616
15,	28,	28,	1,	1,	128,	512,	1,	128,	196,	392,	25224,	25224,	25224,	29856,	71680,	134144,	3228672,	458752,	3821568,	4601856,	2071552
16,	28,	28,	1,	1,	512,	128,	1,	128,	784,	98,	25224,	25224,	25224,	27168,	60928,	134144,	3228672,	114688,	3477504,	3902976,	1894144
17,	28,	28,	3,	3,	128,	128,	1,	288,	196,	85,	6824,	6824,	6824,	10048,	132608,	297984,	873472,	114688,	1286144,	8490496,	4187904
18,	28,	28,	1,	1,	128,	512,	1,	128,	196,	392,	25224,	25224,	25224,	29856,	71680,	134144,	3228672,	458752,	3821568,	4601856,	2071552
19,	28,	28,	1,	1,	512,	128,	1,	128,	784,	98,	25224,	25224,	25224,	27168,	60928,	134144,	3228672,	114688,	3477504,	3902976,	1894144
20,	28,	28,	3,	3,	128,	128,	1,	288,	196,	85,	6824,	6824,	6824,	10048,	132608,	297984,	873472,	114688,	1286144,	8490496,	4187904
21,	28,	28,	1,	1,	128,	512,	1,	128,	196,	392,	25224,	25224,	25224,	29856,	71680,	134144,	3228672,	458752,	3821568,	4601856,	2071552
22,	28,	28,	1,	1,	512,	128,	1,	128,	784,	98,	25224,	25224,	25224,	27168,	60928,	134144,	3228672,	114688,	3477504,	3902976,	1894144
